antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Resp_high', 'Temp_high'})",frozenset({'Sepsis'}),0.19072164948453607,0.5,0.15463917525773196,0.8108108108108109,1.6216216216216217,1.0,0.05927835051546393,2.6428571428571437,0.4736730360934183,0.2884615384615385,0.6216216216216217,0.5600445806631373
"frozenset({'Temp_high', 'O2Sat_low'})",frozenset({'Sepsis'}),0.18556701030927836,0.5,0.14948453608247422,0.8055555555555555,1.611111111111111,1.0,0.056701030927835044,2.5714285714285703,0.4657354866870362,0.27884615384615385,0.6111111111111109,0.5522623138602519
"frozenset({'Resp_high', 'Temp_high', 'O2Sat_low'})",frozenset({'Sepsis'}),0.18556701030927836,0.5,0.14948453608247422,0.8055555555555555,1.611111111111111,1.0,0.056701030927835044,2.5714285714285703,0.4657354866870362,0.27884615384615385,0.6111111111111109,0.5522623138602519
"frozenset({'Resp_high', 'Temp_high', 'HR_high'})",frozenset({'Sepsis'}),0.18041237113402062,0.5,0.14432989690721648,0.7999999999999999,1.5999999999999999,1.0,0.054123711340206174,2.499999999999999,0.4575471698113207,0.26923076923076916,0.5999999999999999,0.5443298969072164
"frozenset({'Temp_high', 'HR_high'})",frozenset({'Sepsis'}),0.18041237113402062,0.5,0.14432989690721648,0.7999999999999999,1.5999999999999999,1.0,0.054123711340206174,2.499999999999999,0.4575471698113207,0.26923076923076916,0.5999999999999999,0.5443298969072164
"frozenset({'Temp_high', 'HR_high', 'O2Sat_low'})",frozenset({'Sepsis'}),0.17525773195876287,0.5,0.13917525773195877,0.7941176470588236,1.5882352941176472,1.0,0.05154639175257733,2.4285714285714293,0.4490740740740742,0.2596153846153846,0.5882352941176472,0.5362340812613706
"frozenset({'Resp_high', 'Temp_high', 'HR_high', 'O2Sat_low'})",frozenset({'Sepsis'}),0.17525773195876287,0.5,0.13917525773195877,0.7941176470588236,1.5882352941176472,1.0,0.05154639175257733,2.4285714285714293,0.4490740740740742,0.2596153846153846,0.5882352941176472,0.5362340812613706
frozenset({'O2Sat_low'}),frozenset({'Sepsis'}),0.24742268041237114,0.5,0.17525773195876287,0.7083333333333333,1.4166666666666665,1.0,0.0515463917525773,1.7142857142857137,0.3908138597904915,0.3063063063063063,0.4166666666666665,0.5294243986254294
"frozenset({'Resp_high', 'O2Sat_low'})",frozenset({'Sepsis'}),0.24742268041237114,0.5,0.17525773195876287,0.7083333333333333,1.4166666666666665,1.0,0.0515463917525773,1.7142857142857137,0.3908138597904915,0.3063063063063063,0.4166666666666665,0.5294243986254294
"frozenset({'O2Sat_low', 'HR_high'})",frozenset({'Sepsis'}),0.23711340206185566,0.5,0.16494845360824742,0.6956521739130435,1.391304347826087,1.0,0.04639175257731959,1.6428571428571428,0.36866554054054057,0.28828828828828823,0.3913043478260869,0.5127745405647691
"frozenset({'Resp_high', 'O2Sat_low', 'HR_high'})",frozenset({'Sepsis'}),0.23711340206185566,0.5,0.16494845360824742,0.6956521739130435,1.391304347826087,1.0,0.04639175257731959,1.6428571428571428,0.36866554054054057,0.28828828828828823,0.3913043478260869,0.5127745405647691
frozenset({'Resp_high'}),frozenset({'Sepsis'}),0.27319587628865977,0.5,0.18041237113402062,0.6603773584905661,1.3207547169811322,1.0,0.04381443298969073,1.4722222222222225,0.33414387031408316,0.3043478260869566,0.3207547169811322,0.5106010503793037
frozenset({'HR_high'}),frozenset({'Sepsis'}),0.25773195876288657,0.5,0.17010309278350516,0.6600000000000001,1.3200000000000003,1.0,0.041237113402061876,1.4705882352941182,0.3265993265993267,0.2894736842105264,0.3200000000000003,0.5001030927835053
"frozenset({'Resp_high', 'HR_high'})",frozenset({'Sepsis'}),0.25773195876288657,0.5,0.17010309278350516,0.6600000000000001,1.3200000000000003,1.0,0.041237113402061876,1.4705882352941182,0.3265993265993267,0.2894736842105264,0.3200000000000003,0.5001030927835053
frozenset({'Temp_high'}),frozenset({'Sepsis'}),0.7164948453608248,0.5,0.4536082474226804,0.6330935251798561,1.2661870503597121,1.0,0.09536082474226804,1.3627450980392155,0.7415289256198347,0.5945945945945944,0.26618705035971213,0.7701550100126084
"frozenset({'Temp_high', 'HR_normal'})",frozenset({'Sepsis'}),0.5360824742268041,0.5,0.30927835051546393,0.576923076923077,1.153846153846154,1.0,0.041237113402061876,1.1818181818181819,0.2874074074074075,0.42553191489361714,0.15384615384615397,0.5977398889770025
"frozenset({'Temp_high', 'O2Sat_normal'})",frozenset({'Sepsis'}),0.5309278350515464,0.5,0.30412371134020616,0.5728155339805825,1.145631067961165,1.0,0.03865979381443296,1.1704545454545454,0.2710001862544234,0.4184397163120568,0.14563106796116498,0.5905314783304974
"frozenset({'Temp_high', 'HR_normal', 'O2Sat_normal'})",frozenset({'Sepsis'}),0.5257731958762887,0.5,0.29896907216494845,0.5686274509803921,1.1372549019607843,1.0,0.03608247422680411,1.159090909090909,0.2544977511244377,0.41134751773049655,0.13725490196078427,0.5832827976551445
"frozenset({'Temp_high', 'O2Sat_normal', 'Resp_normal'})",frozenset({'Sepsis'}),0.5257731958762887,0.5,0.29896907216494845,0.5686274509803921,1.1372549019607843,1.0,0.03608247422680411,1.159090909090909,0.2544977511244377,0.41134751773049655,0.13725490196078427,0.5832827976551445
"frozenset({'Temp_high', 'Resp_normal'})",frozenset({'Sepsis'}),0.5257731958762887,0.5,0.29896907216494845,0.5686274509803921,1.1372549019607843,1.0,0.03608247422680411,1.159090909090909,0.2544977511244377,0.41134751773049655,0.13725490196078427,0.5832827976551445
"frozenset({'Temp_high', 'HR_normal', 'O2Sat_normal', 'Resp_normal'})",frozenset({'Sepsis'}),0.5257731958762887,0.5,0.29896907216494845,0.5686274509803921,1.1372549019607843,1.0,0.03608247422680411,1.159090909090909,0.2544977511244377,0.41134751773049655,0.13725490196078427,0.5832827976551445
"frozenset({'Temp_high', 'HR_normal', 'Resp_normal'})",frozenset({'Sepsis'}),0.5257731958762887,0.5,0.29896907216494845,0.5686274509803921,1.1372549019607843,1.0,0.03608247422680411,1.159090909090909,0.2544977511244377,0.41134751773049655,0.13725490196078427,0.5832827976551445
