antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Resp_high', 'Temp_high', 'O2Sat_low'})",frozenset({'Sepsis'}),0.09430422919508867,0.5,0.07486357435197817,0.7938517179023509,1.5877034358047017,1.0,0.027711459754433836,2.4254385964912286,0.408701757516205,0.144123440577807,0.5877034358047017,0.4717894333031536
"frozenset({'Temp_high', 'O2Sat_low'})",frozenset({'Sepsis'}),0.09890859481582538,0.5,0.07776261937244201,0.786206896551724,1.572413793103448,1.0,0.028308321964529322,2.3387096774193536,0.4039935189981007,0.14921465968586387,0.5724137931034481,0.470866067648304
"frozenset({'Temp_high', 'HR_normal', 'O2Sat_low'})",frozenset({'Sepsis'}),0.06497271487039563,0.5,0.0504774897680764,0.7769028871391077,1.5538057742782154,1.0,0.017991132332878586,2.241176470588236,0.3811855809849609,0.0981107059993371,0.5538057742782154,0.4389289333376303
"frozenset({'Resp_high', 'Temp_high'})",frozenset({'Sepsis'}),0.15978854024556616,0.5,0.123806275579809,0.7748132337246532,1.5496264674493063,1.0,0.04391200545702592,2.2203791469194316,0.42213563201809784,0.2309895004772511,0.5496264674493063,0.5112128924421355
frozenset({'Temp_high'}),frozenset({'Sepsis'}),0.17274897680763984,0.5,0.13318553888130968,0.7709772951628825,1.541954590325765,1.0,0.04681105047748976,2.1831896551724133,0.4248679800170562,0.24683944374209862,0.541954590325765,0.5186741864627509
"frozenset({'Resp_high', 'Temp_high', 'HR_normal'})",frozenset({'Sepsis'}),0.11169849931787176,0.5,0.08458390177353342,0.7572519083969466,1.5145038167938931,1.0,0.02873465211459754,2.059748427672956,0.38243517732955984,0.16046586865092202,0.5145038167938931,0.4632098559720067
"frozenset({'Temp_high', 'HR_normal'})",frozenset({'Sepsis'}),0.12244201909959072,0.5,0.09259890859481583,0.7562674094707521,1.5125348189415042,1.0,0.03137789904502047,2.0514285714285716,0.3861376713412195,0.17476665593820404,0.5125348189415042,0.4707326133301919
"frozenset({'Temp_high', 'O2Sat_normal'})",frozenset({'Sepsis'}),0.07145293315143247,0.5,0.05337653478854024,0.747016706443914,1.494033412887828,1.0,0.017650068212824006,1.9764150943396224,0.35611649460037487,0.10302830809743252,0.4940334128878281,0.4268848880104973
"frozenset({'Resp_high', 'O2Sat_low', 'HR_high'})",frozenset({'Sepsis'}),0.09004092769440655,0.5,0.06531377899045021,0.725378787878788,1.450757575757576,1.0,0.020293315143246934,1.8206896551724143,0.34144937974876793,0.12447188820279495,0.4507575757575759,0.4280031729298442
"frozenset({'O2Sat_low', 'HR_high'})",frozenset({'Sepsis'}),0.0929399727148704,0.5,0.06736016371077763,0.724770642201835,1.44954128440367,1.0,0.020890177353342435,1.8166666666666673,0.3419030416395964,0.1281635301752109,0.4495412844036699,0.4297454848116951
"frozenset({'Resp_high', 'HR_high'})",frozenset({'Sepsis'}),0.14375852660300137,0.5,0.10061391541609822,0.6998813760379596,1.3997627520759193,1.0,0.02873465211459754,1.6660079051383396,0.333542848848396,0.18524332810047095,0.39976275207591927,0.450554603435078
frozenset({'HR_high'}),frozenset({'Sepsis'}),0.15279672578444747,0.5,0.10658253751705321,0.6975446428571429,1.3950892857142858,1.0,0.030184174624829474,1.653136531365314,0.3342763285024155,0.19512956603184514,0.3950892857142858,0.45535485894562466
"frozenset({'HR_high', 'Temp_normal'})",frozenset({'Sepsis'}),0.1009549795361528,0.5,0.06463165075034107,0.6402027027027026,1.2804054054054053,1.0,0.014154160982264664,1.389671361502347,0.24358887096063833,0.1205087440381558,0.28040540540540526,0.38473300210169237
"frozenset({'Resp_high', 'HR_high', 'Temp_normal'})",frozenset({'Sepsis'}),0.09447476125511596,0.5,0.060368349249658934,0.6389891696750902,1.2779783393501805,1.0,0.013130968622100954,1.385,0.24020768829731773,0.11302681992337164,0.27797833935018046,0.37986293408720406
"frozenset({'Resp_high', 'O2Sat_low'})",frozenset({'Sepsis'}),0.42786493860845837,0.5,0.24130286493860845,0.5639697090474293,1.1279394180948585,1.0,0.027370395634379263,1.1467093235831811,0.1982531214947365,0.3514654744162941,0.12793941809485854,0.5232877194623231
frozenset({'O2Sat_low'}),frozenset({'Sepsis'}),0.4633356070941337,0.5,0.2566507503410641,0.5539197644460803,1.1078395288921605,1.0,0.024982946793997263,1.120874587458746,0.18138373623774998,0.36317567567567566,0.10783952889216053,0.5336106325641042
"frozenset({'Resp_high', 'O2Sat_low', 'HR_normal'})",frozenset({'Sepsis'}),0.33748294679399726,0.5,0.17598908594815826,0.5214754926730673,1.0429509853461345,1.0,0.007247612551159632,1.0448785638859557,0.06216016681132972,0.2660479505027069,0.04295098534613451,0.4367268322846919
"frozenset({'O2Sat_low', 'HR_normal'})",frozenset({'Sepsis'}),0.36971350613915416,0.5,0.1891200545702592,0.5115313653136532,1.0230627306273063,1.0,0.004263301500682132,1.023607176581681,0.03576600736203985,0.27787521924329744,0.02306273062730635,0.4448857372270858
frozenset({'Resp_high'}),frozenset({'Sepsis'}),0.8506139154160982,0.5,0.4334924965893588,0.5096230954290296,1.0192461908580592,1.0,0.008185538881309684,1.0196238757154537,0.12640246596898133,0.4726664187430272,0.01924619085805923,0.6883040443038736
